Path,L1Path,L1Prescale(1e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(1e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Ele23_WPLoose_Gsf,L1_SingleEG20,1,L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 1|1|1|2|1|1,1,1,56.82,+/-,0.08,58.04,+/-,0.66,58.04,+/-,0.66,2.10%,+/-,1.13%
HLT_BTagMu_DiJet70_Mu5,L1_Mu3_JetC52_WdEtaPhi2,1,L1_Mu3_JetC52_WdEtaPhi2, 1,1,1,48.75,+/-,0.08,48.48,+/-,0.61,48.48,+/-,0.61,0.55%,+/-,1.25%
HLT_Ele17_CaloIdL_TrackIdL_IsoVL,L1_SingleEG15,2,L1_SingleEG15, 2,11,11,43.96,+/-,0.07,495.69,+/-,1.94,45.06,+/-,0.18,2.44%,+/-,0.41%
HLT_BTagMu_DiJet20_Mu5,L1_Mu3_JetC16_WdEtaPhi2,25,L1_Mu3_JetC16_WdEtaPhi2, 25,1,1,39.11,+/-,0.07,39.03,+/-,0.54,39.03,+/-,0.54,0.21%,+/-,1.40%
HLT_Ele27_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 2|1|1,1,1,38.47,+/-,0.07,39.51,+/-,0.55,39.51,+/-,0.55,2.63%,+/-,1.36%
HLT_Mu17,L1_SingleMu12,5,L1_SingleMu12, 5,1,1,35.96,+/-,0.07,36.69,+/-,0.53,36.69,+/-,0.53,1.98%,+/-,1.42%
HLT_Ele22_eta2p1_WPLoose_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 2|1|1,1,1,32.88,+/-,0.06,33.72,+/-,0.51,33.72,+/-,0.51,2.48%,+/-,1.47%
HLT_IsoMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,28.92,+/-,0.06,29.16,+/-,0.47,29.16,+/-,0.47,0.83%,+/-,1.61%
HLT_OldIsoMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,24.13,+/-,0.05,24.43,+/-,0.43,24.43,+/-,0.43,1.22%,+/-,1.75%
HLT_IsoMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,23.40,+/-,0.05,23.72,+/-,0.42,23.72,+/-,0.42,1.36%,+/-,1.78%
HLT_IsoTkMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,22.88,+/-,0.05,23.14,+/-,0.42,23.14,+/-,0.42,1.14%,+/-,1.80%
HLT_Ele27_eta2p1_WPLoose_Gsf,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,21.92,+/-,0.05,22.51,+/-,0.41,22.51,+/-,0.41,2.63%,+/-,1.80%
HLT_Mu17_TrkIsoVVL,L1_SingleMu12,5,L1_SingleMu12, 5,1,1,21.77,+/-,0.05,22.57,+/-,0.41,22.57,+/-,0.41,3.56%,+/-,1.78%
HLT_Ele22_eta2p1_WPTight_Gsf,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 2|1|1,1,1,20.55,+/-,0.05,20.76,+/-,0.40,20.76,+/-,0.40,1.05%,+/-,1.91%
HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,1,1,20.23,+/-,0.05,21.36,+/-,0.40,21.36,+/-,0.40,5.29%,+/-,1.80%
HLT_OldIsoTkMu18,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,19.29,+/-,0.05,19.61,+/-,0.39,19.61,+/-,0.39,1.66%,+/-,1.95%
HLT_IsoMu22,L1_SingleMu20,1,L1_SingleMu20, 1,1,1,19.11,+/-,0.05,19.33,+/-,0.38,19.33,+/-,0.38,1.17%,+/-,1.97%
HLT_IsoTkMu20,L1_SingleMu16,1,L1_SingleMu16, 1,1,1,18.50,+/-,0.05,18.73,+/-,0.38,18.73,+/-,0.38,1.27%,+/-,2.00%
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,1,1,17.80,+/-,0.05,18.74,+/-,0.38,18.74,+/-,0.38,5.01%,+/-,1.93%
HLT_IsoTkMu22,L1_SingleMu20,1,L1_SingleMu20, 1,1,1,15.35,+/-,0.04,15.65,+/-,0.34,15.65,+/-,0.34,1.92%,+/-,2.18%
HLT_Ele27_eta2p1_WPTight_Gsf,L1_SingleIsoEG22er,1,L1_SingleIsoEG22er OR L1_SingleEG25, 1|1,1,1,14.17,+/-,0.04,14.49,+/-,0.33,14.49,+/-,0.33,2.26%,+/-,2.25%
HLT_IsoMu27,L1_SingleMu25,1,L1_SingleMu25, 1,1,1,14.16,+/-,0.04,14.27,+/-,0.33,14.27,+/-,0.33,0.71%,+/-,2.31%
HLT_HT550to650,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,13.24,+/-,0.04,12.98,+/-,0.31,12.98,+/-,0.31,1.94%,+/-,2.34%
HLT_DiPFJetAve40,L1_ZeroBias,987,L1_ZeroBias, 2500,3,3,12.96,+/-,0.04,40.32,+/-,0.55,13.44,+/-,0.18,3.59%,+/-,1.35%
HLT_HT500to550,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,12.83,+/-,0.04,12.45,+/-,0.31,12.45,+/-,0.31,2.97%,+/-,2.34%
HLT_BTagMu_DiJet110_Mu5,L1_Mu3_JetC52_WdEtaPhi2,1,L1_Mu3_JetC52_WdEtaPhi2, 1,1,1,12.28,+/-,0.04,12.46,+/-,0.31,12.46,+/-,0.31,1.48%,+/-,2.45%
HLT_HT650,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,11.94,+/-,0.04,11.88,+/-,0.30,11.88,+/-,0.30,0.53%,+/-,2.52%
HLT_IsoTkMu27,L1_SingleMu25,1,L1_SingleMu25, 1,1,1,11.48,+/-,0.04,11.56,+/-,0.30,11.56,+/-,0.30,0.74%,+/-,2.56%
HLT_HT470to500,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,11.22,+/-,0.04,11.49,+/-,0.29,11.49,+/-,0.29,2.36%,+/-,2.53%
HLT_Mu20,L1_SingleMu16,1,L1_SingleMu16, 1,10,10,9.91,+/-,0.04,101.39,+/-,0.88,10.14,+/-,0.09,2.22%,+/-,0.91%
HLT_HT450to470,L1_HTT125 OR L1_HTT150,1 | 1,L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1,1,1,9.72,+/-,0.03,9.47,+/-,0.27,9.47,+/-,0.27,2.58%,+/-,2.71%
HLT_ZeroBias_IsolatedBunches,L1_AlwaysTrue,23,L1_AlwaysTrue, 1,50,50,9.63,+/-,0.03,490.22,+/-,1.93,9.80,+/-,0.04,1.82%,+/-,0.52%
HLT_Dimuon10_Jpsi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,9.57,+/-,0.03,9.91,+/-,0.27,9.91,+/-,0.27,3.46%,+/-,2.69%
HLT_Ele32_eta2p1_WPTight_Gsf,L1_SingleIsoEG30er,1,L1_SingleIsoEG30er OR L1_SingleEG40, 1|1,1,1,9.11,+/-,0.03,9.29,+/-,0.27,9.29,+/-,0.27,1.92%,+/-,2.82%
HLT_BTagMu_DiJet40_Mu5,L1_Mu3_JetC16_WdEtaPhi2,25,L1_Mu3_JetC16_WdEtaPhi2, 25,1,1,8.93,+/-,0.03,8.97,+/-,0.26,8.97,+/-,0.26,0.45%,+/-,2.92%
HLT_DiPFJetAve60,L1_ZeroBias,987,L1_ZeroBias, 2500,1,1,8.04,+/-,0.03,8.45,+/-,0.25,8.45,+/-,0.25,4.86%,+/-,2.87%
HLT_Ele30WP60_SC4_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,7.80,+/-,0.03,7.92,+/-,0.24,7.92,+/-,0.24,1.58%,+/-,3.07%
HLT_L2Mu10,L1_SingleMu16,1,L1_SingleMu16, 1,100,100,7.78,+/-,0.03,787.39,+/-,2.44,7.87,+/-,0.02,1.17%,+/-,0.50%
HLT_LooseIsoPFTau50_Trk30_eta2p1,L1_QuadJetC36_TauJet52,2,L1_QuadJetC36_TauJet52, 2,1,1,7.48,+/-,0.03,6.97,+/-,0.23,6.97,+/-,0.23,6.85%,+/-,2.89%
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,6.94,+/-,0.03,7.10,+/-,0.23,7.10,+/-,0.23,2.30%,+/-,3.22%
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,6.90,+/-,0.03,6.95,+/-,0.23,6.95,+/-,0.23,0.78%,+/-,3.30%
HLT_L1_TripleJet_VBF,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,680,680,6.69,+/-,0.03,4664.54,+/-,5.94,6.86,+/-,0.01,2.52%,+/-,0.44%
HLT_HcalCalibration,,,none, -1|,1,1,6.60,+/-,0.03,0.00,+/-,0.00,0.00,+/-,0.00,100.00%,+/-,0.43%
HLT_Mu8_TrkIsoVVL,L1_SingleMu7 OR L1_SingleMu5,25 | 20,L1_SingleMu5 OR L1_SingleMu7, 20|25,30,30,6.15,+/-,0.03,177.13,+/-,1.16,5.90,+/-,0.04,4.02%,+/-,0.75%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,6.12,+/-,0.03,6.26,+/-,0.22,6.26,+/-,0.22,2.34%,+/-,3.42%
HLT_Ele12_CaloIdL_TrackIdL_IsoVL,L1_SingleEG10 OR L1_SingleEG15,1500 | 2,L1_SingleEG15 OR L1_SingleEG10, 2|1500,125,125,6.07,+/-,0.03,771.27,+/-,2.42,6.17,+/-,0.02,1.70%,+/-,0.54%
HLT_Mu12_Photon25_CaloIdL_L1OR,L1_Mu5_EG20 OR L1_Mu20_EG10,1 | 1,L1_Mu5_EG20 OR L1_Mu20_EG10, 1|1,1,1,5.83,+/-,0.03,6.10,+/-,0.21,6.10,+/-,0.21,4.37%,+/-,3.40%
HLT_L2Mu10_NoVertex_NoBPTX,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,15,15,5.80,+/-,0.03,91.60,+/-,0.83,6.11,+/-,0.06,5.00%,+/-,0.97%
HLT_Mu45_eta2p1,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,5.71,+/-,0.03,5.84,+/-,0.21,5.84,+/-,0.21,2.19%,+/-,3.55%
HLT_PFHT650,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,2,2,5.65,+/-,0.03,11.84,+/-,0.30,5.92,+/-,0.15,4.47%,+/-,2.46%
HLT_DoubleMu4_3_Jpsi_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,5.62,+/-,0.03,5.70,+/-,0.21,5.70,+/-,0.21,1.41%,+/-,3.62%
HLT_PFHT600,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,3,3,5.48,+/-,0.03,16.89,+/-,0.36,5.63,+/-,0.12,2.60%,+/-,2.11%
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,15,15,5.46,+/-,0.03,86.80,+/-,0.81,5.79,+/-,0.05,5.71%,+/-,0.99%
HLT_Mu10_CentralPFJet30_BTagCSV0p54PF,,,L1_Jet32_DoubleMu_Open_10_MuMuNotWdPhi23_JetMuWdPhi1, 1,3,3,5.30,+/-,0.03,15.75,+/-,0.35,5.25,+/-,0.12,0.87%,+/-,2.21%
HLT_Mu8,L1_SingleMu7 OR L1_SingleMu5,25 | 20,L1_SingleMu5 OR L1_SingleMu7, 20|25,60,60,5.06,+/-,0.03,275.34,+/-,1.44,4.59,+/-,0.02,9.30%,+/-,0.66%
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45,L1_SingleJet200 OR L1_SingleJet176,1 | 1,L1_SingleJet176 OR L1_SingleJet200, 1|1,1,1,4.85,+/-,0.02,4.74,+/-,0.19,4.74,+/-,0.19,2.31%,+/-,3.85%
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_TripleJet_84_68_48_VBF OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_DoubleJetC84, 1|1|1|1|1|1|1|1,1,1,4.51,+/-,0.02,4.53,+/-,0.19,4.53,+/-,0.19,0.36%,+/-,4.11%
HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,4.39,+/-,0.02,3.45,+/-,0.16,3.45,+/-,0.16,21.42%,+/-,2.94%
HLT_PFHT800,L1_HTT125 OR L1_HTT100,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,4.32,+/-,0.02,4.52,+/-,0.19,4.52,+/-,0.19,4.45%,+/-,3.94%
HLT_DoubleMu4_JpsiTrk_Displaced,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,4.29,+/-,0.02,4.13,+/-,0.18,4.13,+/-,0.18,3.84%,+/-,4.00%
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,4.27,+/-,0.02,4.20,+/-,0.18,4.20,+/-,0.18,1.53%,+/-,4.15%
HLT_PFJet260,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,6,6,4.25,+/-,0.02,25.81,+/-,0.44,4.30,+/-,0.07,1.12%,+/-,1.78%
HLT_Dimuon16_Jpsi,L1_DoubleMu_10_0_WdEta18,1,L1_DoubleMu_10_0_WdEta18, 1,1,1,4.19,+/-,0.02,4.48,+/-,0.18,4.48,+/-,0.18,6.58%,+/-,3.87%
HLT_Ele23_WPLoose_Gsf_CentralPFJet30_BTagCSV07,L1_SingleEG20,1,L1_SingleEG20 OR L1_SingleIsoEG18er OR L1_SingleIsoEG20 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 1|1|1|2|1|1,1,1,4.14,+/-,0.02,4.16,+/-,0.18,4.16,+/-,0.18,0.67%,+/-,4.27%
HLT_AK8PFHT650_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,4.03,+/-,0.02,3.82,+/-,0.17,3.82,+/-,0.17,5.41%,+/-,4.02%
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,4.03,+/-,0.02,3.89,+/-,0.17,3.89,+/-,0.17,3.34%,+/-,4.16%
HLT_Mu50,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,3.98,+/-,0.02,4.07,+/-,0.18,4.07,+/-,0.18,2.33%,+/-,4.25%
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL,L1_DoubleEG_15_10,1,L1_DoubleEG_15_10, 1,1,1,3.97,+/-,0.02,4.10,+/-,0.18,4.10,+/-,0.18,2.98%,+/-,4.21%
HLT_Ele27_WPLoose_Gsf_CentralPFJet30_BTagCSV07,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 2|1|1,1,1,3.90,+/-,0.02,3.89,+/-,0.17,3.89,+/-,0.17,0.16%,+/-,4.43%
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200 OR L1_HTT250 OR L1_ETM40 OR L1_ETM50 OR L1_ETM60 OR L1_ETM70 OR L1_ETM100, 1|1|1|1|1|1|1|1000|1|1|1|1,1,1,3.77,+/-,0.02,3.52,+/-,0.16,3.52,+/-,0.16,6.49%,+/-,4.10%
HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,3.73,+/-,0.02,3.12,+/-,0.15,3.12,+/-,0.15,16.40%,+/-,3.49%
HLT_Ele15_IsoVVVL_PFHT350,L1_SingleEG5,1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,3.52,+/-,0.02,3.78,+/-,0.17,3.78,+/-,0.17,6.77%,+/-,4.21%
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,3.50,+/-,0.02,3.29,+/-,0.16,3.29,+/-,0.16,5.82%,+/-,4.29%
HLT_PFMET90_PFMHT90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,3.39,+/-,0.02,3.64,+/-,0.17,3.64,+/-,0.17,7.00%,+/-,4.28%
HLT_PFMET170,L1_ETM60 OR L1_ETM70,1 | 1,L1_ETM60 OR L1_ETM70, 1|1,1,1,3.37,+/-,0.02,3.19,+/-,0.16,3.19,+/-,0.16,5.46%,+/-,4.40%
HLT_PFMET170_HBHECleaned,L1_ETM60 OR L1_ETM70,1 | 1,L1_ETM60 OR L1_ETM70, 1|1,1,1,3.32,+/-,0.02,3.17,+/-,0.15,3.17,+/-,0.15,4.62%,+/-,4.49%
HLT_Photon75_R9Id90_HE10_IsoM,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEg25 OR L1_SingleEG40, -1||1,2,2,3.25,+/-,0.02,6.89,+/-,0.23,3.45,+/-,0.11,5.77%,+/-,3.18%
HLT_Photon90_R9Id90_HE10_IsoM,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEg25 OR L1_SingleEG40, -1||1,1,1,3.23,+/-,0.02,3.45,+/-,0.16,3.45,+/-,0.16,6.12%,+/-,4.44%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 1,L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleEG25, 2|1|1,1,1,3.15,+/-,0.02,3.22,+/-,0.16,3.22,+/-,0.16,2.05%,+/-,4.79%
HLT_Ele30WP60_Ele8_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,3.14,+/-,0.02,3.11,+/-,0.15,3.11,+/-,0.15,0.80%,+/-,4.89%
HLT_Dimuon0_Phi_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 30,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,3.12,+/-,0.02,3.20,+/-,0.16,3.20,+/-,0.16,2.38%,+/-,4.79%
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15,L1_SingleEG35 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,3.10,+/-,0.02,3.13,+/-,0.15,3.13,+/-,0.15,0.98%,+/-,4.91%
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,3.10,+/-,0.02,3.09,+/-,0.15,3.09,+/-,0.15,0.36%,+/-,4.96%
HLT_PFJet320,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,3,3,3.05,+/-,0.02,9.47,+/-,0.27,3.16,+/-,0.09,3.47%,+/-,2.80%
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,3.03,+/-,0.02,2.76,+/-,0.14,2.76,+/-,0.14,8.86%,+/-,4.39%
