Prescale	Path	Group	Total			HLTPhysics1			HLTPhysics2			HLTPhysics3			HLTPhysics4		
1	HLT_PFHT350_PFMET100_v1	SUSY,EXO	1.51	±	0.06	0.34	±	0.03	0.41	±	0.03	0.36	±	0.03	0.40	±	0.03
4	HLT_DiPFJetAve320_v2	JME	1.50	±	0.06	0.41	±	0.03	0.32	±	0.03	0.34	±	0.03	0.43	±	0.03
4	HLT_LooseIsoPFTau50_Trk30_eta2p1_v3	TAU,HIG	1.49	±	0.06	0.34	±	0.03	0.3973851573	±	0.03212668584	0.3895932915	±	0.03181015904	0.366217694	±	0.03084109345
14	HLT_Dimuon0er16_Jpsi_NoVertexing_v2	BPH	1.44	±	0.06	0.36	±	0.03	0.3532312509	±	0.03028932988	0.4077743117	±	0.032543933	0.319466499	±	0.02880532414
1	HLT_PFMET120_PFMHT120_IDTight_v2	HIG	1.42	±	0.06	0.34	±	0.03	0.3714122712	±	0.03105905442	0.3142719218	±	0.02857017471	0.3921905801	±	0.03191601677
1	HLT_Ele23_WPLoose_Gsf_WHbbBoost_v2	HIG	1.39	±	0.06	0.31	±	0.03	0.34	±	0.03	0.35	±	0.03	0.39	±	0.03
1	HLT_PFHT400_SixJet30_BTagCSV0p55_2PFBTagCSV0p72_v3	HIG	1.35	±	0.06	0.35	±	0.03	0.36	±	0.03	0.36	±	0.03	0.27	±	0.03
1	HLT_DiPFJetAve60_v2	JME	1.34	±	0.06	0.30	±	0.03	0.3402448079	±	0.02972732689	0.3740095598	±	0.03116746332	0.3272583648	±	0.02915449234
1	HLT_Ele23_WPLoose_Gsf_TriCentralPFJet50_40_30_v2	TOP	1.34	±	0.06	0.32	±	0.03	0.35	±	0.03	0.34	±	0.03	0.34	±	0.03
1	HLT_PFHT650_WideJetMJJ950DEtaJJ1p5_v3	EXO	1.32	±	0.06	0.37	±	0.03	0.319466499	±	0.02880532414	0.3402448079	±	0.02972732689	0.2986881901	±	0.02785281735
1	HLT_Mu40_TkMu11_v2	EXO	1.31	±	0.06	0.31	±	0.03	0.35	±	0.03	0.32	±	0.03	0.33	±	0.03
1	HLT_Mu15_IsoVVVL_PFHT350_v2	SUSY	1.29	±	0.06	0.32	±	0.03	0.34	±	0.03	0.32	±	0.03	0.31	±	0.03
1	HLT_MET300_v1	Hotline	1.29	±	0.06	0.34	±	0.03	0.29	±	0.03	0.34	±	0.03	0.32	±	0.03
1	HLT_DiPFJetAve220_HFJEC_v3	JME	1.27	±	0.06	0.35	±	0.03	0.31	±	0.03	0.30	±	0.03	0.31	±	0.03
400	HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v3	HIG	1.25	±	0.06	0.32	±	0.03	0.32	±	0.03	0.31	±	0.03	0.30	±	0.03
1	HLT_PFHT450_SixJet40_PFBTagCSV0p72_v3	HIG	1.25	±	0.06	0.35	±	0.03	0.31	±	0.03	0.29	±	0.03	0.30	±	0.03
1	HLT_IsoMu20_eta2p1_LooseIsoPFTau20_v3	TAU,HIG	1.24	±	0.06	0.30	±	0.03	0.29	±	0.03	0.32	±	0.03	0.32	±	0.03
1	HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v2	HIG	1.23	±	0.06	0.33	±	0.03	0.259728861	±	0.0259728861	0.2986881901	±	0.02785281735	0.3402448079	±	0.02972732689
1	HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v3	EXO,B2G	1.22	±	0.06	0.33	±	0.03	0.28	±	0.03	0.29	±	0.03	0.32	±	0.03
1	HLT_PFJet500_v4	SMP,B2G,BTV	1.22	±	0.06	0.33	±	0.03	0.25	±	0.03	0.32	±	0.03	0.32	±	0.03
1	HLT_Photon120_R9Id90_HE10_IsoM_v3	SMP,SUSY	1.17	±	0.06	0.29	±	0.03	0.27	±	0.03	0.30	±	0.03	0.30	±	0.03
1	HLT_VBF_DisplacedJet40_TightID_Hadronic_v2	EXO	1.15	±	0.05	0.31	±	0.03	0.27	±	0.03	0.26	±	0.03	0.31	±	0.03
1	HLT_PFHT300_DiPFJetAve90_PFAlphaT0p53_v2	SUSY	1.15	±	0.05	0.30	±	0.03	0.2493397065	±	0.02544812724	0.2831044585	±	0.02711648918	0.3116746332	±	0.0284518712
1	HLT_DoubleJet90_Double30_TripleBTagCSV0p67_v3	HIG	1.14	±	0.05	0.28	±	0.03	0.28	±	0.03	0.31	±	0.03	0.28	±	0.03
180	HLT_PFHT350_v3	SUSY,EXO	1.12	±	0.05	0.21	±	0.02	0.30	±	0.03	0.32	±	0.03	0.30	±	0.03
1	HLT_DiCentralPFJet55_PFMET110_v1	SUSY	1.11	±	0.05	0.25	±	0.03	0.32	±	0.03	0.26	±	0.03	0.27	±	0.03
1	HLT_DoubleJetsC112_DoubleBTagCSV0p9_DoublePFJetsC112MaxDeta1p6_v2	SUSY	1.11	±	0.05	0.28	±	0.03	0.25	±	0.03	0.31	±	0.03	0.27	±	0.03
1	HLT_IsoMu22_CentralPFJet30_BTagCSV07_v2	TOP	1.10	±	0.05	0.28	±	0.03	0.29	±	0.03	0.28	±	0.03	0.26	±	0.03
1	HLT_Ele27_WPLoose_Gsf_TriCentralPFJet50_40_30_v1	TOP	1.09	±	0.05	0.24	±	0.03	0.28	±	0.03	0.29	±	0.03	0.29	±	0.03
1	HLT_Dimuon13_Upsilon_v2	BPH	1.09	±	0.05	0.2649234382	±	0.02623132914	0.2753125926	±	0.0267407229	0.2701180154	±	0.02648725061	0.2753125926	±	0.0267407229
7	HLT_DoubleJet90_Double30_DoubleBTagCSV0p67_v3	HIG	1.05	±	0.05	0.29	±	0.03	0.31	±	0.03	0.24	±	0.03	0.22	±	0.02
1	HLT_PFHT400_DiPFJetAve90_PFAlphaT0p51_v2	SUSY	1.05	±	0.05	0.23	±	0.02	0.28	±	0.03	0.24	±	0.02	0.30	±	0.03
1	HLT_Photon250_NoHE_v2	HIG	1.04	±	0.05	0.30	±	0.03	0.21	±	0.02	0.24	±	0.02	0.29	±	0.03
7	HLT_QuadJet45_DoubleBTagCSV0p67_v3	HIG	1.02	±	0.05	0.24	±	0.02	0.25	±	0.03	0.28	±	0.03	0.26	±	0.03
1	HLT_Mu17_Photon30_CaloIdL_L1ISO_v3	HIG	1.01	±	0.05	0.24	±	0.02	0.25	±	0.03	0.23	±	0.02	0.29	±	0.03
1	HLT_IsoMu17_eta2p1_LooseIsoPFTau20_v4	TAU,HIG	1.01	±	0.05	0.23	±	0.02	0.23	±	0.02	0.29	±	0.03	0.25	±	0.03
1	HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v3	HIG,SMP,TOP	1.00	±	0.05	0.27	±	0.03	0.2545342838	±	0.02571184544	0.2675207268	±	0.02635960046	0.2077830888	±	0.02323085555
1	HLT_Photon90_CaloIdL_PFHT600_v2	SUSY,EXO	1.00	±	0.05	0.23	±	0.02	0.22	±	0.02	0.25	±	0.03	0.30	±	0.03
30	HLT_IsoMu17_eta2p1_v3	TAU,HIG	0.99	±	0.05	0.26	±	0.03	0.19	±	0.02	0.26	±	0.03	0.28	±	0.03
120	HLT_PFHT400_v2	SUSY	0.99	±	0.05	0.25	±	0.03	0.2467424179	±	0.02531523793	0.2285613977	±	0.02436472686	0.2571315724	±	0.02584269537
1	HLT_QuadJet45_TripleBTagCSV0p67_v3	HIG	0.99	±	0.05	0.24	±	0.02	0.2467424179	±	0.02531523793	0.2805071699	±	0.026991815	0.2233668204	±	0.02408626369
1	HLT_PFMET300_v1	Hotline	0.98	±	0.05	0.24	±	0.03	0.23	±	0.02	0.25	±	0.03	0.25	±	0.03
30	HLT_Mu8_TrkIsoVVL_v3	Muon,SUSY,HIG	0.97	±	0.05	0.22	±	0.02	0.2363532635	±	0.02477655422	0.2675207268	±	0.02635960046	0.2519369952	±	0.02558032619
12	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v2	HIG	0.97	±	0.05	0.26	±	0.03	0.24	±	0.02	0.25	±	0.03	0.21	±	0.02
1	HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v3	B2G	0.97	±	0.05	0.25	±	0.03	0.26	±	0.03	0.22	±	0.02	0.23	±	0.02
1	HLT_Ele15_IsoVVVL_BTagCSV0p72_PFHT400_v3	SUSY	0.96	±	0.05	0.21	±	0.02	0.29	±	0.03	0.22	±	0.02	0.24	±	0.02
1	HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58_v2	SUSY	0.94	±	0.05	0.24	±	0.03	0.22	±	0.02	0.23	±	0.02	0.24	±	0.02
100	HLT_TkMu20_v2	SMP	0.92	±	0.05	0.25	±	0.03	0.24	±	0.03	0.22	±	0.02	0.21	±	0.02
1	HLT_DoublePhoton60_v1	EXO,EGM	0.92	±	0.05	0.24	±	0.02	0.19	±	0.02	0.24	±	0.03	0.24	±	0.03
1	HLT_RsqMR270_Rsq0p09_MR200_v2	SUSY	0.91	±	0.05	0.24	±	0.02	0.22	±	0.02	0.24	±	0.03	0.21	±	0.02
1	HLT_PFHT350_DiPFJetAve90_PFAlphaT0p52_v2	SUSY	0.89	±	0.05	0.24	±	0.02	0.21	±	0.02	0.18	±	0.02	0.26	±	0.03
60	HLT_PFHT475_v2	SUSY,EXO	0.88	±	0.05	0.22	±	0.02	0.21	±	0.02	0.23	±	0.02	0.22	±	0.02
1	HLT_Mu7p5_Track2_Jpsi_v2	BPH	0.87	±	0.05	0.22	±	0.02	0.22	±	0.02	0.24	±	0.03	0.18	±	0.02
60	HLT_Mu8_v3	Muon,SUSY	0.85	±	0.05	0.21	±	0.02	0.22	±	0.02	0.22	±	0.02	0.21	±	0.02
1	HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT250_v1	SUSY	0.85	±	0.05	0.21	±	0.02	0.21	±	0.02	0.21	±	0.02	0.22	±	0.02
120	HLT_PFJet200_v4	SMP,BTV	0.84	±	0.05	0.22	±	0.02	0.19	±	0.02	0.22	±	0.02	0.21	±	0.02
300	HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v3	SUSY	0.84	±	0.05	0.18	±	0.02	0.20	±	0.02	0.25	±	0.03	0.21	±	0.02
1	HLT_Photon135_PFMET100_v1	EXO	0.83	±	0.05	0.21	±	0.02	0.19	±	0.02	0.20	±	0.02	0.23	±	0.02
36	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3	HIG	0.83	±	0.05	0.21	±	0.02	0.22	±	0.02	0.18	±	0.02	0.21	±	0.02
150	HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v3	SUSY	0.83	±	0.05	0.20	±	0.02	0.21	±	0.02	0.23	±	0.02	0.18	±	0.02
1	HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v1	HIG	0.82	±	0.05	0.21	±	0.02	0.20	±	0.02	0.21	±	0.02	0.20	±	0.02
1	HLT_PFHT300_DiPFJetAve90_PFAlphaT0p54_v2	SUSY	0.82	±	0.05	0.21	±	0.02	0.18	±	0.02	0.21	±	0.02	0.23	±	0.02
1	HLT_Mu17_Photon35_CaloIdL_L1ISO_v3	HIG	0.82	±	0.05	0.20	±	0.02	0.18	±	0.02	0.20	±	0.02	0.24	±	0.02
1	HLT_DoubleJetsC100_DoubleBTagCSV0p85_DoublePFJetsC160_v2	SUSY	0.81	±	0.05	0.26	±	0.03	0.18	±	0.02	0.19	±	0.02	0.18	±	0.02
15	HLT_PFHT550_4JetPt50_v1	EXO	0.79	±	0.05	0.22	±	0.02	0.19	±	0.02	0.17	±	0.02	0.21	±	0.02
1	HLT_Mu7p5_Track3p5_Jpsi_v2	BPH	0.79	±	0.05	0.20	±	0.02	0.21	±	0.02	0.22	±	0.02	0.17	±	0.02
1	HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v4	HIG	0.78	±	0.04	0.21	±	0.02	0.19	±	0.02	0.16	±	0.02	0.22	±	0.02
2000	HLT_L1SingleMu16_v1	Muons	0.78	±	0.04	0.20	±	0.02	0.19	±	0.02	0.19	±	0.02	0.20	±	0.02
1	HLT_Ele27_WPLoose_Gsf_WHbbBoost_v2	HIG	0.77	±	0.04	0.19	±	0.02	0.17	±	0.02	0.18	±	0.02	0.23	±	0.02
1	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV0p72_v2	HIG	0.76	±	0.04	0.14	±	0.02	0.20	±	0.02	0.24	±	0.02	0.18	±	0.02
800	HLT_Photon22_R9Id90_HE10_IsoM_v2	SMP,SUSY	0.75	±	0.04	0.19	±	0.02	0.19	±	0.02	0.18	±	0.02	0.19	±	0.02
30	HLT_Mu16_eta2p1_MET30_v1	TAU,HIG	0.74	±	0.04	0.16	±	0.02	0.17	±	0.02	0.21	±	0.02	0.20	±	0.02
1	HLT_HT500_DisplacedDijet40_Inclusive_v2	EXO	0.74	±	0.04	0.20	±	0.02	0.15	±	0.02	0.20	±	0.02	0.19	±	0.02
1	HLT_BTagMu_Jet300_Mu5_v2	BTV	0.72	±	0.04	0.20	±	0.02	0.14	±	0.02	0.17	±	0.02	0.21	±	0.02
1	HLT_DoubleIsoMu17_eta2p1_v3	HIG,TAU	0.71	±	0.04	0.19	±	0.02	0.19	±	0.02	0.15	±	0.02	0.18	±	0.02
1	HLT_HT250_DisplacedDijet40_DisplacedTrack_v2	EXO	0.71	±	0.04	0.18	±	0.02	0.17	±	0.02	0.17	±	0.02	0.18	±	0.02
150	HLT_Ele33_CaloIdM_TrackIdM_PFJet30_v3	SUSY	0.71	±	0.04	0.18	±	0.02	0.15	±	0.02	0.21	±	0.02	0.17	±	0.02
24	HLT_DiPFJetAve260_v2	JME	0.71	±	0.04	0.19	±	0.02	0.16	±	0.02	0.17	±	0.02	0.18	±	0.02
1	HLT_Mu17_Mu8_SameSign_DZ_v1	HIG,B2G	0.70	±	0.04	0.21	±	0.02	0.16	±	0.02	0.17	±	0.02	0.17	±	0.02
1	HLT_Mu16_TkMu0_dEta18_Phi_v2	BPH	0.70	±	0.04	0.19	±	0.02	0.17	±	0.02	0.18	±	0.02	0.16	±	0.02
1	HLT_Dimuon13_PsiPrime_v2	BPH	0.69	±	0.04	0.19	±	0.02	0.16	±	0.02	0.18	±	0.02	0.16	±	0.02
1	HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v2	EXO	0.68	±	0.04	0.15	±	0.02	0.1584346052	±	0.02028547252	0.1636291824	±	0.02061533923	0.2025885116	±	0.0229386319
10	HLT_PFHT650_4JetPt50_v1	EXO	0.67	±	0.04	0.19	±	0.02	0.16	±	0.02	0.12	±	0.02	0.21	±	0.02
1	HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v2	SUSY	0.67	±	0.04	0.18	±	0.02	0.15	±	0.02	0.15	±	0.02	0.19	±	0.02
1	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250_v1	SUSY	0.65	±	0.04	0.17	±	0.02	0.15	±	0.02	0.14	±	0.02	0.19	±	0.02
1	HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v2	HIG,TAU	0.65	±	0.04	0.17	±	0.02	0.14	±	0.02	0.16	±	0.02	0.17	±	0.02
1	HLT_PFJet140_v4	SMP,BTV	0.64	±	0.04	0.15	±	0.02	0.15	±	0.02	0.17	±	0.02	0.17	±	0.02
1	HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3	HIG,SMP	0.64	±	0.04	0.18	±	0.02	0.15	±	0.02	0.16	±	0.02	0.15	±	0.02
1	HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v2	EXO	0.63	±	0.04	0.15	±	0.02	0.1376562963	±	0.01890854649	0.1506427394	±	0.01978036074	0.199991223	±	0.02279111505
1	HLT_DiPFJetAve500_v2	JME	0.63	±	0.04	0.17	±	0.02	0.14	±	0.02	0.19	±	0.02	0.14	±	0.02
15	HLT_Photon120_v3	SMP,EXO	0.63	±	0.04	0.15	±	0.02	0.14	±	0.02	0.19	±	0.02	0.15	±	0.02
1	HLT_DoubleJetsC112_DoubleBTagCSV0p85_DoublePFJetsC172_v2	SUSY	0.62	±	0.04	0.21	±	0.02	0.13	±	0.02	0.14	±	0.02	0.14	±	0.02
1	HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v2	EXO	0.61	±	0.04	0.15	±	0.02	0.18	±	0.02	0.16	±	0.02	0.13	±	0.02
1	HLT_Ele15_IsoVVVL_PFHT350_PFMET50_v2	SUSY	0.61	±	0.04	0.11	±	0.02	0.17	±	0.02	0.16	±	0.02	0.17	±	0.02
1	HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3	HIG	0.58	±	0.04	0.14	±	0.02	0.13	±	0.02	0.13	±	0.02	0.18	±	0.02
5	HLT_PFJet80_v4	SMP,BTV	0.57	±	0.04	0.15	±	0.02	0.13	±	0.02	0.16	±	0.02	0.14	±	0.02
100	HLT_Mu24_eta2p1_v2	SMP,EXO	0.56	±	0.04	0.14	±	0.02	0.17	±	0.02	0.12	±	0.02	0.14	±	0.02
1	HLT_Mu15_IsoVVVL_BTagCSV0p72_PFHT400_v3	SUSY	0.55	±	0.04	0.12	±	0.02	0.13	±	0.02	0.15	±	0.02	0.14	±	0.02
1	HLT_Ele15_IsoVVVL_PFHT600_v3	SUSY	0.54	±	0.04	0.15	±	0.02	0.1454481622	±	0.01943632823	0.1090861216	±	0.016832354	0.1350590077	±	0.01872931452
200	HLT_Photon36_R9Id90_HE10_IsoM_v3	SMP,SUSY	0.54	±	0.04	0.14	±	0.02	0.15	±	0.02	0.12	±	0.02	0.13	±	0.02
70	HLT_Mu27_v2	SMP	0.54	±	0.04	0.14	±	0.02	0.13	±	0.02	0.14	±	0.02	0.12	±	0.02
5000	HLT_Photon22_v2	SMP,EXO	0.54	±	0.04	0.13	±	0.02	0.13	±	0.02	0.12	±	0.02	0.16	±	0.02
1	HLT_DoubleMu33NoFiltersNoVtx_v2	EXO	0.53	±	0.04	0.12	±	0.02	0.15	±	0.02	0.13	±	0.02	0.13	±	0.02
100	HLT_TkMu24_eta2p1_v2	SMP	0.52	±	0.04	0.13	±	0.02	0.16	±	0.02	0.11	±	0.02	0.13	±	0.02
1	HLT_IsoTrackHE_v1	HCAL	0.52	±	0.04	0.14	±	0.02	0.15	±	0.02	0.12	±	0.02	0.12	±	0.02
2800	HLT_HT200_v1	EXO	0.52	±	0.04	0.13	±	0.02	0.12	±	0.02	0.13	±	0.02	0.14	±	0.02
5	HLT_DiPFJetAve40_v2	JME	0.52	±	0.04	0.14	±	0.02	0.12	±	0.02	0.13	±	0.02	0.14	±	0.02
1250	HLT_Photon36_v3	SMP,EXO	0.52	±	0.04	0.13	±	0.02	0.13	±	0.02	0.13	±	0.02	0.14	±	0.02
1	HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT300_v4	SUSY	0.52	±	0.04	0.13	±	0.02	0.13	±	0.02	0.12	±	0.02	0.14	±	0.02
1	HLT_Mu25_TkMu0_dEta18_Onia_v2	BPH,SMP	0.52	±	0.04	0.13	±	0.02	0.10	±	0.02	0.16	±	0.02	0.13	±	0.02
1	HLT_PFHT400_DiPFJetAve90_PFAlphaT0p52_v2	SUSY	0.52	±	0.04	0.12	±	0.02	0.15	±	0.02	0.10	±	0.02	0.15	±	0.02
1	HLT_VBF_DisplacedJet40_DisplacedTrack_v2	EXO	0.51	±	0.04	0.12	±	0.02	0.16	±	0.02	0.13	±	0.02	0.10	±	0.02
1	HLT_HT550_DisplacedDijet40_Inclusive_v2	EXO	0.51	±	0.04	0.14	±	0.02	0.11	±	0.02	0.12	±	0.02	0.14	±	0.02
400	HLT_Photon30_R9Id90_HE10_IsoM_v3	SMP,SUSY	0.51	±	0.04	0.11	±	0.02	0.16	±	0.02	0.11	±	0.02	0.13	±	0.02
1	HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v2	HIG,TAU,EXO	0.50	±	0.04	0.13	±	0.02	0.11	±	0.02	0.11	±	0.02	0.14	±	0.02
1	HLT_DiPFJetAve100_HFJEC_v3	JME	0.50	±	0.04	0.12	±	0.02	0.12	±	0.02	0.13	±	0.02	0.12	±	0.02
300	HLT_Ele12_CaloIdM_TrackIdM_PFJet30_v3	SUSY	0.50	±	0.04	0.12	±	0.02	0.15	±	0.02	0.11	±	0.02	0.12	±	0.02
1	HLT_Mu40_eta2p1_PFJet200_PFJet50_v3	B2G	0.50	±	0.04	0.14	±	0.02	0.12	±	0.02	0.11	±	0.02	0.13	±	0.02
570	HLT_HT325_v1	EXO	0.49	±	0.04	0.11	±	0.02	0.12	±	0.02	0.12	±	0.02	0.14	±	0.02
70	HLT_TkMu27_v2	SMP	0.49	±	0.04	0.14	±	0.02	0.13	±	0.02	0.11	±	0.02	0.11	±	0.02
1	HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v3	HIG,TAU,EXO	0.49	±	0.04	0.13	±	0.02	0.11	±	0.02	0.11	±	0.02	0.14	±	0.02
360	HLT_Photon50_v3	SMP,EXO	0.48	±	0.04	0.12	±	0.02	0.13	±	0.02	0.14	±	0.02	0.10	±	0.02
1	HLT_IsoMu16_eta2p1_MET30_LooseIsoPFTau50_Trk30_eta2p1_v1	TAU,HIG	0.48	±	0.04	0.12	±	0.02	0.11	±	0.02	0.14	±	0.02	0.11	±	0.02
1	HLT_RsqMR240_Rsq0p09_MR200_4jet_v2	SUSY	0.48	±	0.04	0.12	±	0.02	0.14	±	0.02	0.12	±	0.02	0.10	±	0.02
2500	HLT_Photon30_v3	SMP,EXO	0.46	±	0.03	0.12	±	0.02	0.08	±	0.01	0.12	±	0.02	0.13	±	0.02
3060	HLT_PFHT200_v2	SUSY	0.45	±	0.03	0.12	±	0.02	0.106488833	±	0.01663076165	0.1220725647	±	0.01780611361	0.1090861216	±	0.016832354
7	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v2	HIG	0.45	±	0.03	0.11	±	0.02	0.12	±	0.02	0.10	±	0.02	0.12	±	0.02
1	HLT_Photon300_NoHE_v2	HIG	0.44	±	0.03	0.13	±	0.02	0.09	±	0.02	0.10	±	0.02	0.12	±	0.02
1	HLT_DoubleMu4_PsiPrimeTrk_Displaced_v2	BPH	0.44	±	0.03	0.09	±	0.01	0.12	±	0.02	0.11	±	0.02	0.12	±	0.02
1	HLT_Mu6_PFHT200_PFMET80_BTagCSV0p72_v1	SUSY	0.44	±	0.03	0.10	±	0.02	0.12	±	0.02	0.09	±	0.02	0.13	±	0.02
210	HLT_HT425_v1	EXO	0.43	±	0.03	0.11	±	0.02	0.11	±	0.02	0.10	±	0.02	0.12	±	0.02
650	HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v3	SUSY	0.43	±	0.03	0.11	±	0.02	0.11	±	0.02	0.09	±	0.02	0.12	±	0.02
1	HLT_IsoTrackHB_v1	HCAL	0.43	±	0.03	0.08	±	0.01	0.1324617191	±	0.01854835072	0.1246698533	±	0.01799454334	0.09609967856	±	0.01579868984
1	HLT_L2DoubleMu28_NoVertex_2Cha_Angle2p5_Mass10_v2	EXO	0.42	±	0.03	0.12	±	0.02	0.10	±	0.02	0.10	±	0.02	0.10	±	0.02
7	HLT_Mu20_Mu10_v1	HIG	0.41	±	0.03	0.11	±	0.02	0.08	±	0.01	0.11	±	0.02	0.11	±	0.02
1	HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v1	TAU,HIG	0.41	±	0.03	0.06	±	0.01	0.1298644305	±	0.01836560389	0.106488833	±	0.01663076165	0.1142806988	±	0.01722846358
1	HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF_v2	HIG	0.41	±	0.03	0.11	±	0.02	0.09	±	0.02	0.09	±	0.02	0.12	±	0.02
1	HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v2	EXO	0.41	±	0.03	0.10	±	0.02	0.13	±	0.02	0.10	±	0.02	0.08	±	0.01
1020	HLT_PFHT300_v2	SUSY	0.40	±	0.03	0.09	±	0.02	0.09	±	0.02	0.10	±	0.02	0.11	±	0.02
1	HLT_Dimuon6_Jpsi_NoVertexing_v2	BPH	0.39	±	0.03	0.10	±	0.02	0.10	±	0.02	0.10	±	0.02	0.08	±	0.01
1	HLT_IsoMu18_TriCentralPFJet50_40_30_v2	TOP	0.39	±	0.03	0.09	±	0.02	0.08571052412	±	0.01492028713	0.09609967856	±	0.01579868984	0.1194752761	±	0.01761566841
1	HLT_PFMET400_v1	Hotline	0.39	±	0.03	0.10	±	0.02	0.10	±	0.02	0.09	±	0.02	0.10	±	0.02
1	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v4	SUSY	0.39	±	0.03	0.10	±	0.02	0.10	±	0.02	0.09	±	0.02	0.10	±	0.02
1	HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v3	EXO,B2G	0.38	±	0.03	0.13	±	0.02	0.09	±	0.01	0.07	±	0.01	0.10	±	0.02
7	HLT_Mu20_Mu10_DZ_v1	HIG	0.38	±	0.03	0.10	±	0.02	0.07	±	0.01	0.10	±	0.02	0.11	±	0.02
1100	HLT_HT275_v1	EXO	0.38	±	0.03	0.09	±	0.02	0.10	±	0.02	0.11	±	0.02	0.09	±	0.02
22	HLT_PFHT400_SixJet30_v3	HIG	0.38	±	0.03	0.11	±	0.02	0.07791865829	±	0.0142259356	0.07272408107	±	0.01374355949	0.1168779874	±	0.01742314167
70	HLT_HT575_v1	EXO	0.37	±	0.03	0.08	±	0.01	0.09	±	0.02	0.06	±	0.01	0.14	±	0.02
1	HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV0p54PF_v3	SUSY	0.37	±	0.03	0.09	±	0.02	0.11	±	0.02	0.09	±	0.02	0.08	±	0.01
1	HLT_DoubleMu8_Mass8_PFHT250_v1	SUSY	0.37	±	0.03	0.08	±	0.01	0.11	±	0.02	0.09	±	0.02	0.09	±	0.02
14	HLT_Mu17_Mu8_v1	HIG	0.37	±	0.03	0.10	±	0.02	0.07532136968	±	0.01398682722	0.09869696717	±	0.01601076228	0.09869696717	±	0.01601076228
350	HLT_QuadPFJet_VBF_v4	HIG	0.37	±	0.03	0.11	±	0.02	0.09	±	0.01	0.08	±	0.01	0.10	±	0.02
1	HLT_Mu7p5_L2Mu2_Jpsi_v2	BPH	0.36	±	0.03	0.10	±	0.02	0.10	±	0.02	0.08	±	0.01	0.08	±	0.01
22	HLT_Mu10_CentralPFJet30_BTagCSV0p54PF_v3	SUSY	0.35	±	0.03	0.08	±	0.01	0.10	±	0.02	0.08	±	0.01	0.09	±	0.02
1	HLT_PFMET120_BTagCSV0p72_v1	SUSY	0.35	±	0.03	0.08	±	0.01	0.10	±	0.02	0.07	±	0.01	0.09	±	0.02
1	HLT_IsoMu22_TriCentralPFJet50_40_30_v2	TOP	0.35	±	0.03	0.08	±	0.01	0.08	±	0.01	0.08	±	0.01	0.11	±	0.02
1	HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3	HIG,TOP,SMP	0.34	±	0.03	0.11	±	0.02	0.08	±	0.01	0.09	±	0.02	0.07	±	0.01
1	HLT_Mu7p5_Track7_Jpsi_v2	BPH	0.34	±	0.03	0.09	±	0.02	0.10	±	0.02	0.09	±	0.02	0.06	±	0.01
1	HLT_DoubleMu38NoFiltersNoVtx_v2	EXO	0.34	±	0.03	0.07	±	0.01	0.09	±	0.02	0.09	±	0.01	0.09	±	0.02
