Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBMhltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Data Rate scaled (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
L1_Mu5_EG20,1,L1_Mu5_EG20,1
L1_SingleEG25,1,L1_SingleEG25,1
L1_HTT175,1,L1_HTT175,1
L1_DoubleIsoTau40er,1,L1_DoubleIsoTau40er,1
L1_ETM70,1,L1_ETM70,1
L1_SingleJet92,800,L1_SingleJet92,800
L1_Mu5_IsoEG18,1,L1_Mu5_IsoEG18,1
L1_Mu16er_TauJet20er,1,L1_Mu16er_TauJet20er,1
L1_QuadJetC40,1,L1_QuadJetC40,1
L1_DoubleJetC112,1,L1_DoubleJetC112,1
L1_Mu3_JetC52_WdEtaPhi2,3,L1_Mu3_JetC52_WdEtaPhi2,3
L1_Mu6_HTT100,1,L1_Mu6_HTT100,1
L1_SingleEG30,1,L1_SingleEG30,1
L1_Mu16er_IsoTau32er,1,L1_Mu16er_IsoTau32er,1
L1_SingleEG35,1,L1_SingleEG35,1
L1_ETT40,262139,L1_ETT40,262139
L1_ETT15_BptxAND,262139,L1_ETT15_BptxAND,262139
L1_SingleMu5,40,L1_SingleMu5,40
L1_SingleJet68,300,L1_SingleJet68,300
L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF,1
L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er,1
L1_Mu14er_ETM30,1,L1_Mu14er_ETM30,1
L1_SingleMuOpen_NotBptxOR,1,L1_SingleMuOpen_NotBptxOR,1
L1_HTT150,1,L1_HTT150,1
L1_HTT250,1,L1_HTT250,1
L1_DoubleMu7_EG7,1,L1_DoubleMu7_EG7,1
L1_TripleMu_5_5_3,1,L1_TripleMu_5_5_3,1
L1_HTT75,1,L1_HTT75,1
L1_Mu20_EG10,1,L1_Mu20_EG10,1
L1_SingleEG40,1,L1_SingleEG40,1
L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5,1
L1_Mu16er_IsoTau28er,1,L1_Mu16er_IsoTau28er,1
L1_TripleJet_84_68_48_VBF,1,L1_TripleJet_84_68_48_VBF,1
L1_Mu5_EG15,1,L1_Mu5_EG15,1
L1_DoubleMu0_Eta1p6_WdEta18_OS,1,L1_DoubleMu0_Eta1p6_WdEta18_OS,1
L1_QuadJetC60,1,L1_QuadJetC60,1
L1_Mu3_JetC16_WdEtaPhi2,50,L1_Mu3_JetC16_WdEtaPhi2,50
L1_SingleMu25,1,L1_SingleMu25,1
L1_SingleMu20,1,L1_SingleMu20,1
L1_DoubleMu_10_0_WdEta18,1,L1_DoubleMu_10_0_WdEta18,1
L1_SingleIsoEG30er,1,L1_SingleIsoEG30er,1
L1_Mu6_DoubleEG10,1,L1_Mu6_DoubleEG10,1
L1_Mu10er_ETM30,1,L1_Mu10er_ETM30,1
L1_SingleJet176,1,L1_SingleJet176,1
L1_SingleMu20er,1,L1_SingleMu20er,1
L1_DoubleMu0,60,L1_DoubleMu0,60
L1_DoubleJetC100,1,L1_DoubleJetC100,1
L1_TripleMu0,1,L1_TripleMu0,1
L1_IsoEG20er_TauJet20er_NotWdEta0,1,L1_IsoEG20er_TauJet20er_NotWdEta0,1
L1_SingleJet52,1500,L1_SingleJet52,1500
******************************L1 path with different prescale
L1_SingleJetC20_NotBptxOR,100,L1_SingleJetC20_NotBptxOR,10
L1_ZeroBias,631,L1_ZeroBias,5000
L1_ETM40,2000,L1_ETM40,1
L1_SingleIsoEG20er,4,L1_SingleIsoEG20er,1
L1_SingleEG5,262139,L1_SingleEG5,3000
L1_SingleEG20,1,L1_SingleEG20,4
******************************l1wbmonly
L1Tech_BRIL_bit28,1,,
L1Tech_BRIL_bit29,1,,
L1_AlwaysTrue,1,,
L1Tech_RPC_TTU_RBplus1_Cosmics.v0,1,,
L1Tech_HCAL_HO_totalOR.v0,277,,
L1Tech_BPTX_quiet.v0,1,,
L1_SingleIsoEG25,400,,
L1Tech_BPTX_minus.v0,1,,
L1_SingleMuBeamHalo,1,,
L1Tech_BRIL_bit42,1,,
L1_AlwaysTrue103_HC,1,,
L1_AlwaysTrue27,1,,
L1 Algo Name,-1,,
L1_SingleIsoEG25er,1,,
L1_AlwaysTrue28_HC,1,,
L1Tech_BPTX_plus_AND_minus.v0,1,,
L1_Mu5_DoubleEG5,262139,,
L1_Mu4_EG18,1,,
L1Tech_HCAL_HF_MMP_or_MPP.v1,1,,
L1Tech_TOTEM_0,1,,
L1Tech_TOTEM_1,1,,
L1Tech_TOTEM_2,1,,
L1Tech_TOTEM_3,1,,
L1Tech_RPC_TTU_pointing_Cosmics.v0,1,,
L1Tech_CASTOR_HighJet.v0,1,,
L1Tech_DT_GlobalOR.v0,1,,
L1Tech_BPTX_minus_AND_not_plus.v0,1,,
L1Tech_BRIL_bit43,1,,
L1Tech_BRIL_bit40,1,,
L1Tech_HCAL_HBHE_totalOR.v0,1,,
L1_DoubleMu6_EG6,1,,
L1_DoubleJetC52,2000,,
L1Tech_CASTOR_Gap.v0,1,,
L1_Mu10er_ETM50,1,,
L1Tech_RPC_TTU_barrel_Cosmics.v0,1,,
L1Tech_CASTOR_MediumJet.v0,1,,
L1Tech_BPTX_plus_OR_minus.v0,1,,
L1Tech_BRIL_bit31,1,,
L1Tech_CASTOR_HaloMuon.v0,1,,
L1Tech_HCAL_HF_coincidence_PM.v2,1,,
L1Tech_BPTX_plus_AND_minus_instance1.v0,1,,
L1Tech_BPTX_plus.v0,1,,
L1Tech_HCAL_HF_single_channel.v0,1,,
L1_DoubleMu_10_Open,150,,
L1Tech_BPTX_plus_AND_NOT_minus.v0,1,,
L1Tech_RPC_TTU_RBplus2_Cosmics.v0,1,,
L1 Tech Name,-1,,
L1_DoubleMuOpen,1,,
L1Tech_BPTX_PreBPTX.v0,1,,
L1Tech_BRIL_bit39,1,,
L1Tech_BRIL_bit38,1,,
L1Tech_BRIL_bit33,1,,
L1Tech_BRIL_bit32,1,,
L1Tech_BRIL_bit30,1,,
L1Tech_BRIL_bit37,1,,
L1Tech_BRIL_bit36,1,,
L1Tech_BRIL_bit35,1,,
L1Tech_BRIL_bit34,1,,
L1_SingleEG2_BptxAND,1,,
L1Tech_BRIL_bit41,1,,
L1_ETM30,800,,
L1_SingleMu30,1,,
L1_AlwaysTrue99,1,,
******************************l1steamonly
